"";"cnae_secao";"n"
"1";"-";793
"2";"PJ - Administração pública, defesa e seguridade social";2
"3";"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura";80
"4";"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação";36
"5";"PJ - Alojamento e alimentação";114
"6";"PJ - Artes, cultura, esporte e recreação";60
"7";"PJ - Atividades administrativas e serviços complementares";258
"8";"PJ - Atividades financeiras, de seguros e serviços relacionados";70
"9";"PJ - Atividades imobiliárias";70
"10";"PJ - Atividades profissionais, científicas e técnicas";184
"11";"PJ - Comércio; reparação de veículos automotores e motocicletas";1427
"12";"PJ - Construção";190
"13";"PJ - Educação";113
"14";"PJ - Eletricidade e gás";7
"15";"PJ - Indústrias de transformação";954
"16";"PJ - Indústrias extrativas";31
"17";"PJ - Informação e comunicação";121
"18";"PJ - Outras atividades de serviços";101
"19";"PJ - Saúde humana e serviços sociais";199
"20";"PJ - Transporte, armazenagem e correio";196
