YEAR;DAY;MONTH;CODE_INDICE_CONDICOES_ECONOMICAS_ATUAIS;INDICE_CONDICOES_ECONOMICAS_ATUAIS;CODE_IPCA_INDICE_GERAL;IPCA_INDICE_GERAL;CODE_IPCA_TAXA_VARIACAO;IPCA_TAXA_VARIACAO;CODE_PIB;PIB;CODE_TAXAS_DESEMPREGO;TAXAS_DESEMPREGO;uf;tcb;sr;cliente;ocupacao;cnae_secao;cnae_subclasse;porte;modalidade;origem;indexador;numero_de_operacoes;a_vencer_ate_90_dias;a_vencer_de_91_ate_360_dias;a_vencer_de_361_ate_1080_dias;a_vencer_de_1081_ate_1800_dias;a_vencer_de_1801_ate_5400_dias;a_vencer_acima_de_5400_dias;vencido_acima_de_15_dias;carteira_ativa;carteira_inadimplida_arrastada;ativo_problematico
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AC;Bancário;S1;PF;PF - Servidor ou empregado público;-;-;PF - Mais de 1 a 2 salários mínimos          ;PF - Outros créditos;Com destinação específica;Prefixado;<= 15;804,58;258,64;0,00;0,00;0,00;0,00;0,00;1063,22;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AC;Bancário;S1;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;PJ - Médio                                   ;PJ - Capital de giro rotativo;Sem destinação específica;Prefixado;<= 15;72903,43;0,00;0,00;0,00;0,00;0,00;9373,75;82277,18;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AC;Não bancário;S4;PF;PF - Outros;-;-;PF - Acima de 20 salários mínimos            ;PF - Cartão de crédito;Sem destinação específica;Prefixado;95;53323,50;25111,96;179,62;0,00;0,00;0,00;8975,57;87590,65;2966,47;2966,47
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S1;PJ;-;PJ - Informação e comunicação;PJ - Atividades de rádio;PJ - Pequeno                                 ;PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos;Com destinação específica;Pós-fixado;<= 15;30602,94;0,00;0,00;0,00;0,00;0,00;0,00;30602,94;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S2;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Comércio varejista de medicamentos veterinários;PJ - Médio                                   ;PJ - Operações com recebíveis;Sem destinação específica;Prefixado;<= 15;127421,30;0,00;0,00;0,00;0,00;0,00;0,00;127421,30;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S1;PF;PF - Empresário;-;-;PF - Mais de 10 a 20 salários mínimos        ;PF - Outros créditos;Sem destinação específica;Índices de preços;<= 15;2182664,66;174582,61;41483,21;0,00;0,00;0,00;0,00;2398730,48;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S1;PJ;-;PJ - Atividades administrativas e serviços complementares;PJ - Serviços combinados para apoio a edifícios, exceto condomínios prediais;PJ - Micro                                   ;PJ - Investimento;Sem destinação específica;Prefixado;<= 15;28189,99;71463,39;86994,23;0,00;0,00;0,00;22792,57;209440,18;33495,69;42691,16
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S1;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Comércio atacadista de cimento;PJ - Médio                                   ;PJ - Capital de giro rotativo;Sem destinação específica;Prefixado;<= 15;17980,35;0,00;0,00;0,00;0,00;0,00;0,00;17980,35;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S1;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;PJ - Pequeno                                 ;PJ - Capital de giro;Sem destinação específica;Prefixado;<= 15;25614,23;91274,89;177188,09;7803,39;0,00;0,00;0,00;301880,60;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S1;PJ;-;PJ - Indústrias de transformação;PJ - Fabricação de fios, cabos e condutores elétricos isolados;PJ - Médio                                   ;PJ - Outros créditos;Sem destinação específica;Prefixado;<= 15;89169,32;151480,47;37895,99;0,00;0,00;0,00;0,00;278545,78;0,00;237793,71
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S2;PJ;-;PJ - Educação;-;PJ - Pequeno                                 ;PJ - Capital de giro rotativo;Sem destinação específica;Prefixado;<= 15;67,25;0,00;0,00;0,00;0,00;0,00;0,00;67,25;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AM;Bancário;S3;PJ;-;PJ - Atividades administrativas e serviços complementares;PJ - Limpeza em prédios e em domicílios;PJ - Médio                                   ;PJ - Investimento;Sem destinação específica;Prefixado;<= 15;2290,96;6170,38;5241,18;0,00;0,00;0,00;2463,31;16165,83;12247,60;16165,83
